driverId,constructorId,circuitId,prevPoints,constructorPosition,gridPosition,q3,podium
1,131,14,15,1,1,81135.0,1
1,131,15,18,1,3,103288.0,1
1,131,13,12,2,3,107087.0,0
1,1,5,6,3,3,87923.0,1
1,1,6,8,2,3,75839.0,1
1,1,11,5,5,4,81839.0,1
1,1,2,10,1,9,96709.0,0
1,131,70,12,1,1,79273.0,1
1,131,70,15,2,5,64819.0,0
1,131,9,4,2,7,87211.0,1
1,131,7,18,2,3,87627.0,1
1,131,9,25,1,1,89287.0,1
1,131,11,25,1,2,80108.0,1
1,131,6,8,3,5,71725.0,0
1,131,4,13,2,4,72818.0,1
1,131,73,18,3,5,101177.0,0
1,131,6,18,1,3,73942.0,1
1,131,7,25,1,1,72812.0,1
1,131,73,25,1,10,121954.0,0
1,131,70,10,1,1,67922.0,1
1,131,32,10,2,6,77454.0,1
1,131,3,2,3,9,89710.0,0
1,131,3,25,1,1,92571.0,1
1,131,14,8,2,8,80820.0,0
1,131,15,8,2,5,91485.0,1
1,131,3,18,1,1,89493.0,1
1,131,11,15,2,1,76609.0,0
1,131,9,25,1,2,85217.0,1
1,131,4,19,1,1,75584.0,1
1,131,13,25,1,1,101252.0,1
1,1,3,6,2,4,115217.0,1
1,1,3,3,4,5,94196.0,0
1,1,17,8,1,6,95034.0,1
1,1,9,0,3,4,81835.0,1
1,1,10,10,3,1,75666.0,1
1,131,69,25,1,1,92237.0,1
1,131,32,15,1,3,74894.0,0
1,131,18,12,1,1,67281.0,1
1,1,12,10,4,1,99489.0,1
1,1,22,10,4,3,92395.0,1
1,1,15,8,4,1,107891.0,1
1,131,10,26,1,1,71767.0,0
1,131,11,2,1,3,74769.0,1
1,131,13,25,1,3,103282.0,1
1,131,14,18,1,2,79346.0,1
1,131,71,12,1,2,92030.0,1
1,131,22,26,1,4,87302.0,1
1,131,32,16,1,3,75262.0,1
1,1,8,10,3,13,76693.0,0
1,131,11,25,1,1,73447.0,1
1,131,78,18,4,6,81011.0,0
1,131,9,26,1,1,84303.0,1
1,131,7,25,1,2,70446.0,1
1,131,34,25,1,1,88319.0,1
1,131,70,25,1,4,63262.0,0
1,131,9,10,1,2,85099.0,1
1,1,24,6,2,2,98622.0,1
1,1,14,12,2,2,82725.0,0
1,1,35,10,2,1,95820.0,1
1,1,68,18,2,5,84474.0,0
1,1,1,25,1,1,84922.0,1
1,1,2,15,1,1,96219.0,1
1,1,17,15,1,7,95626.0,1
1,1,5,25,2,4,85595.0,0
1,131,14,18,1,3,79294.0,1
1,131,15,25,1,1,96015.0,1
1,131,71,25,1,2,91532.0,1
1,131,3,15,1,2,89385.0,1
1,1,17,0,2,1,96303.0,1
1,131,1,1,2,5,78825.0,0
1,1,12,8,2,3,97380.0,0
1,1,9,12,2,10,92376.0,0
1,131,32,19,1,2,76020.0,1
1,1,2,6,11,4,96045.0,1
1,131,34,7,2,2,90248.0,1
1,131,70,18,2,2,64066.0,1
1,131,70,19,2,4,64013.0,0
1,131,9,12,2,2,86134.0,1
1,1,18,10,2,4,72830.0,0
1,1,1,4,11,4,86755.0,1
1,1,4,12,2,3,81961.0,1
1,1,6,18,2,9,75280.0,0
1,1,20,12,2,2,90134.0,1
1,1,11,25,2,2,79978.0,0
1,1,12,25,1,3,97969.0,1
1,131,4,25,1,1,76741.0,1
1,131,5,25,1,11,82868.0,0
1,131,69,10,1,2,93119.0,1
1,131,1,18,2,1,81164.0,1
1,131,3,18,2,5,91238.0,1
1,1,22,25,2,9,92327.0,0
1,1,35,10,3,3,97469.0,0
1,131,1,25,4,3,88087.0,0
1,131,2,10,4,4,111699.0,1
1,1,68,1,3,3,85544.0,0
1,131,32,8,4,6,76651.0,0
1,1,3,8,11,2,92935.0,1
1,131,18,18,1,10,67934.0,1
1,131,4,25,1,1,76173.0,1
1,131,6,25,1,3,71232.0,1
1,131,7,15,1,4,70996.0,0
1,131,34,10,1,1,90029.0,1
1,131,11,25,1,1,75419.0,1
1,131,39,18,1,2,68923.0,1
1,1,22,10,2,3,90617.0,0
1,131,3,18,2,9,88220.0,1
1,131,17,15,1,4,91675.0,0
1,131,73,12,2,2,101677.0,1
1,1,4,8,11,4,81785.0,1
1,1,6,8,11,2,75905.0,1
1,1,7,8,11,1,75707.0,1
1,131,71,19,1,4,104050.0,1
1,1,35,10,2,4,96062.0,1
1,1,4,4,2,24,81707.0,0
1,1,6,4,2,3,74583.0,0
1,1,9,25,4,8,113543.0,0
1,1,11,4,2,1,80953.0,1
1,1,7,10,2,2,74087.0,1
1,1,14,25,2,1,84010.0,1
1,1,15,12,2,4,104809.0,0
1,131,15,2,3,5,103254.0,0
1,131,35,10,3,2,97420.0,0
1,131,20,12,2,1,89398.0,0
1,131,11,10,2,1,79388.0,1
1,131,68,10,2,3,84941.0,0
1,1,69,12,3,2,95766.0,1
1,131,18,12,2,5,87677.0,0
1,1,9,6,11,1,79997.0,1
1,131,78,25,1,1,80827.0,1
1,131,77,25,1,1,87511.0,1
1,131,24,26,1,2,82480.0,1
1,1,19,10,11,1,72331.0,1
1,131,70,16,3,8,73151.0,1
1,131,34,15,3,4,91765.0,1
1,131,6,10,4,2,73967.0,0
1,131,15,25,1,5,100126.0,1
1,131,2,25,1,1,90076.0,1
1,131,22,18,1,1,87319.0,1
1,131,79,12,3,6,89625.0,0
1,131,4,8,3,6,79512.0,0
1,131,24,12,1,2,96403.0,1
1,1,8,10,11,2,75104.0,1
1,131,80,1,4,10,108106.0,1
1,131,17,15,4,1,94484.0,1
1,131,3,15,4,9,92762.0,0
1,131,7,12,3,2,85512.0,1
1,131,9,15,2,1,89607.0,0
1,1,3,15,2,2,92520.0,0
1,131,13,15,4,3,113835.0,1
1,131,9,18,1,6,99232.0,1
1,131,14,15,1,1,84109.0,1
1,131,15,25,1,1,105681.0,1
1,131,24,8,2,4,100501.0,0
1,131,69,6,2,5,97345.0,0
1,131,6,10,3,8,72560.0,0
1,131,73,4,3,7,102924.0,0
1,131,7,12,3,4,82891.0,1
1,1,11,6,11,1,79781.0,1
1,131,18,18,3,2,72611.0,1
1,131,17,18,1,1,91678.0,1
1,131,6,25,1,2,76048.0,1
1,131,13,25,2,1,121012.0,1
1,131,70,10,1,8,64424.0,0
1,131,9,12,1,1,86600.0,1
1,131,11,25,1,4,76707.0,0
1,1,14,4,11,2,82034.0,1
1,131,9,15,3,5,101995.0,1
1,1,5,10,11,2,87373.0,0
1,131,69,25,1,1,93108.0,1
1,131,3,25,1,2,93464.0,1
1,131,17,25,1,1,113860.0,1
1,131,14,4,4,6,79513.0,0
1,131,73,10,4,0,102289.0,0
1,131,15,2,4,3,89841.0,0
1,131,2,2,1,1,119431.0,1
1,131,11,25,4,5,75854.0,1
1,131,22,2,3,6,90261.0,0
1,131,13,12,1,1,102553.0,1
1,131,14,25,1,1,95554.0,1
1,1,13,8,11,4,106406.0,0
1,1,16,5,11,1,85368.0,1
1,131,69,15,1,1,94999.0,1
1,131,4,25,1,2,84948.0,1
1,131,4,12,1,1,79149.0,1
1,131,14,12,3,19,81524.0,0
1,131,7,6,1,1,71459.0,1
1,131,73,25,1,1,100593.0,0
1,131,11,18,3,7,78142.0,1
1,131,39,19,3,4,70648.0,0
1,131,32,18,3,3,78084.0,1
1,131,15,10,3,3,109466.0,0
1,131,18,25,1,2,70056.0,1
1,131,24,18,1,2,100866.0,1
1,131,1,50,1,1,86327.0,1
1,131,22,2,4,7,88766.0,0
1,131,7,8,4,7,72280.0,0
1,131,4,25,1,1,85232.0,1
1,131,3,25,2,2,88792.0,1
1,131,71,18,1,4,93767.0,0
1,131,79,2,4,8,88107.0,0
1,131,21,8,4,8,75504.0,0
1,131,70,15,4,5,64903.0,0
1,131,9,12,4,2,85990.0,1
1,131,2,25,1,1,109834.0,1
1,131,22,25,1,2,92703.0,1
1,131,71,25,1,1,98513.0,1
1,131,4,13,4,3,71701.0,1
1,131,71,25,1,2,97433.0,1
1,131,22,25,1,2,92660.0,1
1,131,22,16,2,7,89908.0,0
1,131,32,25,1,2,79668.0,1
1,131,18,18,1,2,71360.0,1
1,131,24,18,1,2,100614.0,1
1,131,1,18,1,1,83837.0,1
1,131,3,18,3,7,90384.0,0
1,131,77,10,3,7,89223.0,0
1,131,18,25,1,1,70736.0,1
1,131,24,25,1,1,98755.0,1
1,131,10,25,1,2,74470.0,1
1,131,77,6,4,8,88460.0,0
1,131,13,8,1,1,107197.0,1
1,131,14,25,1,1,83397.0,1
1,131,18,19,2,5,71469.0,0
1,131,69,25,1,2,96443.0,1
1,131,32,25,1,1,78704.0,1
1,131,1,10,3,3,77104.0,1
1,131,22,15,1,2,90660.0,1
1,131,1,25,2,1,82188.0,1
1,131,69,10,3,3,94947.0,1
1,131,6,18,1,1,75098.0,1
1,131,11,25,1,1,82020.0,0
1,131,17,18,1,1,95782.0,1
1,131,7,15,1,1,74393.0,1
1,131,70,25,1,1,68455.0,1
1,131,9,18,1,1,92248.0,1
1,1,7,25,1,1,75105.0,1
1,1,22,25,2,8,91169.0,0
1,1,1,18,2,2,84307.0,1
1,1,18,18,2,4,75747.0,0
1,1,24,12,2,2,99425.0,1
1,1,2,18,2,2,94974.0,0
1,1,17,4,2,3,94463.0,1
1,131,21,26,1,2,73706.0,1
1,131,5,26,1,6,112560.0,1
1,131,9,25,2,1,85892.0,1
1,1,9,18,1,4,90556.0,1
1,1,10,18,1,6,74566.0,0
1,1,13,12,2,2,105863.0,1
